Product Category,Product Name,BIS Standard Number,Standard Title,Key Requirements,Testing Requirements,Certification Information,Source
Cement,Ordinary Portland Cement (OPC),IS 269:2015,Ordinary Portland Cement — Specification (Sixth Revision),"Chemical composition, physical properties, fineness, soundness, setting time and strength requirements","Fineness; soundness/expansion; initial and final setting time; compressive strength; applicable chemical requirements","BIS certification / Standard Mark requirements as applicable","Official BIS — IS 269:2015"
Steel,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement,IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement — Specification,"Chemical composition, deformation characteristics, dimensions and mass, mechanical properties and specified grades","Chemical composition; tensile strength; yield/proof stress; elongation; bend test; rebend test; deformation characteristics","BIS certification / Standard Mark requirements as applicable","Official BIS — IS 1786:2008"
Electrical cables/wires,PVC Insulated Unsheathed and Sheathed Cables/Cords,IS 694:2010,Polyvinyl chloride insulated unsheathed and sheathed cables/cords with rigid and flexible conductor for rated voltages up to and including 1100 V,"Conductor construction, insulation and sheath properties, dimensions, electrical characteristics, mechanical properties and marking","Conductor resistance; insulation resistance; high-voltage test; dimensions; tensile/elongation; ageing; flammability and applicable tests","BIS certification / Standard Mark requirements as applicable","Official BIS — IS 694:2010"
LED lamps,Self-Ballasted LED Lamps for General Lighting Services,IS 16102 (Part 1):2026,Self-Ballasted LED Lamps for General Lighting Services — Part 1: Safety Requirements (First Revision),"Safety, marking, protection against electric shock, insulation/electric strength, mechanical strength, temperature and heat/flame requirements","Insulation resistance; electric strength; mechanical strength; temperature rise; heat; flame/ignition; abnormal operation and applicable safety tests","BIS certification / Standard Mark requirements as applicable","Official BIS — IS 16102 (Part 1):2026"
Packaged drinking water,Packaged Drinking Water other than Packaged Natural Mineral Water,IS 14543:2024,Packaged Drinking Water (Other than Packaged Natural Mineral Water) — Specification,"Physical, chemical and microbiological quality requirements along with packaging, hygiene and marking requirements","Physical/organoleptic tests; chemical parameters; microbiological requirements; applicable contaminant and pesticide tests","BIS Standard Mark/certification requirements as applicable","Official BIS — IS 14543:2024"
Pressure cooker,Domestic Pressure Cooker,IS 2347:2023,Domestic Pressure Cooker — Specification,"Requirements for cooker body, lid, gasket, handles, pressure regulating device, safety relief device, construction, workmanship and marking","Air pressure; proof pressure; pressure regulating device; safety relief device; bursting pressure; lid-removal-under-pressure; handle and applicable tests","BIS Standard Mark/certification requirements as applicable","Official BIS — IS 2347:2023"
Helmets,Protective Helmet for Two Wheeler Riders,IS 4151:2015,Protective Helmets for Motorcycle Riders — Specification,"Helmet shell, protective padding, retention system, visor, construction, workmanship, finish, size and marking requirements","Impact absorption; rigidity; dynamic retention; audibility; helmet retention; chin-strap micro-slip; abrasion and applicable tests","BIS Standard Mark/certification requirements as applicable","Official BIS — IS 4151:2015"
Safety footwear,Personal Protective Equipment — Safety Footwear,IS 15298 (Part 2):2024,Personal Protective Equipment — Part 2: Safety Footwear,"Footwear construction, toe protection, impact/compression resistance, slip resistance, puncture resistance, materials and marking","Construction; dimensions; upper/outsole bond strength; impact; compression; slip resistance; puncture resistance and applicable protective tests","BIS Standard Mark/certification requirements as applicable","Official BIS — IS 15298 (Part 2):2024"
Gold hallmarking,Gold and gold alloys jewellery/artefacts,IS 1417:2016,Gold and gold alloys jewellery/artefacts — Fineness and marking — Specification (Fourth Revision),"Fineness requirements, gold content, permitted alloys and marking requirements","Fineness/gold content testing; applicable tests for cadmium and platinum group metals; applicable purity tests","BIS Hallmarking Scheme / BIS registration and Standard Mark requirements as applicable","Official BIS LIMS — IS 1417 (2016)"
Silver hallmarking,Silver and silver alloys jewellery/artefacts,IS 2112:2025,Silver and Silver Alloys Jewellery/Artefacts — Fineness and Marking — Specification,"Fineness requirements, seven purity grades (800, 835, 925, 958, 970, 990 and 999), and HUID-based hallmarking requirements","Fineness  testing; verification of applicable purity grade; hallmarking and HUID-related requirements","BIS Hallmarking Scheme / Standard Mark and HUID requirements as applicable","Official BIS — IS 2112:2025"
